title,company,location,description
Data Scientist,Harmonize,"San Francisco, CA","[    Harmonize is a turnkey population health solution that provides remote patient monitoring and alert triaging. Physicians can utilize our robust data to help them make efficient decisions and provide effective care for each patient. With Harmonize, medical groups can outsource population health teams, remote patient monitoring without making changes to their current infrastructure.    We are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our product.     Responsibilities     Selecting features, building and optimizing classifiers using machine learning techniques  Enhancing data collection procedures to include information that is relevant for building analytic systems  Processing, cleansing, and verifying the integrity of data used for analysis  Doing ad-hoc analysis and presenting results in a clear manner  Creating automated anomaly detection systems and constant tracking of its performance      Requirements     • • Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.    Experience with common data science toolkits.  Great communication skills  Experience with data visualisation tools, such as D3.js, GGplot, etc.  Proficiency in using query languages such as SQL, Hive, Pig  Experience with NoSQL databases, such as MongoDB, Cassandra, HBase  Good applied statistics skills, such as distributions, statistical testing, regression, etc.  Good scripting and programming skills  Data-oriented personality       Location     San Francisco, CA     Interested?     Send your resume to: info@harmonize.health    ]"
Google Cloud - Business Intelligence Data Analyst,SELLBYTEL,"Sunnyvale, CA","[     Google via The SELLBYTEL Group – Sunnyvale, CA    The Google Cloud Customer Team is helping customers transform and evolve their business through the use of Google’s global data center and software assets. We are shaping the future of how technology is used in the workplace, and invite you to be part of an entrepreneurial team in this rapidly growing business.       In the role of Business Intelligence Data Analyst, you will use your technology insight, business acumen and creativity as the team builds data pipelines and tools to automate reporting and generate insight. As a member of the Sales Ops team, you will use debugging skills to ensure the analyst teams are using the right data. In this role, you'll be building scalable solutions that will help make data relevant to the Cloud on current and historical performance, and course correcting on those solutions based on feedback and proactive error handling. Using your strong technical skills, you will build tools to automate reporting and dashboard updates so the Cloud leadership team can see quickly and accurately how their businesses are performing. You’ll be involved in defining user requirements, building &amp; maintaining the data infrastructure, designing reports, &amp; ensuring timely delivery to the end users.      Responsibilities:      Build data pipelines associated with customer activity, product usage, bookings forecasting and business productivity.     Bug fixing pipelines that provide insights to the business through analysis of bookings, activity and product data to drive greater efficiency and effectiveness of our Sales teams.     Develop BI - Data Warehousing and Reporting solutions to address the growing business reporting, analytics and data requirements.     Digging into questions from the stakeholders on why data is incorrect, and coming up with satisfactory solutions     Own the “Single Source of Truth” working with other teams on the Sales team activity reports, product adoption, territory and segment analysis.        Minimum Requirements:      BS degree and 3 years of work experience as an ETL analyst or in a highly analytical role.     Experience analyzing data and creating reports with database query experience (e.g. SQL), statistical and quantitative modeling     Deep understanding of data issues and how to fix them     Excellent written and verbal communication skills.     Ability to work for any US employer ( we do not provide visa sponsorship )      Preferred Requirements:      Experience with SQL and Visualization tools.     Capable of back-end and data processing work necessary to power UIs.     Excellent analytical and problem solving skills, combined with strong business judgment and an ability to present analysis in a clear and compelling manner.        Additional Notes:      Resumes without  professional SQL experience  will not be considered.     We  do not provide visa   sponsorship  nor C2C transfers      Non-local resumes require a cover letter  mentioning availability for interviews, as this is not a remote or telecommute role.     Resumes should be no longer than two pages.        About the Company    The SELLBYTEL Group is a global outsourcing company specializing in Sales, Service, Support, Human Resources, Training and Back Office. We are a trusted partner of Google in the promotion of Google Cloud and related products.   We are looking for motivated and talented Data Analysis professionals to join us and work with the Google Cloud team.      ]"
Data Scientist,Fanatics Inc.,"San Mateo, CA","[      Company Overview        Fanatics is the global leader in licensed sports merchandise and changing the way fans purchase their favorite team apparel and jerseys. Through an innovative, tech-infused approach to making and selling fan gear in today's on-demand culture, Fanatics operates more than 300 online and offline stores, including the e-commerce business for all major professional sports leagues (NFL, MLB, NBA, NHL, NASCAR, MLS, PGA), major media brands (NBC Sports, CBS Sports, FOX Sports) and more than 200 collegiate and professional team properties, which include several of the biggest global soccer clubs (Manchester United, Real Madrid, Chelsea, Manchester City). Fanatics offers the largest collection of timeless and timely merchandise whether shopping online, on your phone, in stores, in stadiums or on-site at the world's biggest sporting events.        About the Team        Fanatics is first and foremost a technology company. We are powered by cutting-edge tech created by our small agile teams using the latest tools and technologies under our highly analytical, forward thinking, and open-minded leadership. As the global leader in licensed sports merchandise, we challenge ourselves by improving our new fully responsive NodeJS cloud commerce platform, Elasticsearch engine, and deep data science capabilities while building the best-in-class retail manufacturing and supply chain technologies. Our tech teams work together to revolutionize data science and engineering initiatives, provide highly scalable real-time and streaming platforms, and create secure e-commerce and in-stadium fan experience products. Our own e-commerce platform transacts in over 190 countries, 17 languages, and 14 currencies. Our motto is “#GSD”—get stuff done—and we do just that. If you want to be at the nexus of sports, commerce, and technology, come be a part of our industry-leading team here at Fanatics Tech.       Fanatics is the global leader in licensed sports merchandise and changing the way fans purchase their favorite team apparel and jerseys. Through an innovative, tech-infused approach to making and selling fan gear in today’s on-demand culture, Fanatics operates more than 300 online and offline stores, including the e-commerce business for all major professional sports leagues (NFL, MLB, NBA, NHL, NASCAR, MLS, PGA), major media brands (NBC Sports, CBS Sports, FOX Sports) and more than 200 collegiate and professional team properties, which include several of the biggest global soccer clubs (Manchester United, Real Madrid, Chelsea, Manchester City). Fanatics offers the largest collection of timeless and timely merchandise whether shopping online, on your phone, in stores, in stadiums or on-site at the world’s biggest sporting events.       About the Team       Fanatics is first and foremost a technology company. We are powered by cutting-edge tech created by our small agile teams using the latest tools and technologies under our highly analytical, forward thinking, and open-minded leadership. As the global leader in licensed sports merchandise, we challenge ourselves by improving our new fully responsive NodeJS cloud commerce platform, Elasticsearch engine, and deep data science capabilities while building the best-in-class retail manufacturing and supply chain technologies. Our tech teams work together to revolutionize data science and engineering initiatives, provide highly scalable real-time and streaming platforms, and create secure e-commerce and in-stadium fan experience products. Our own e-commerce platform transacts in over 190 countries, 17 languages, and 14 currencies. Our motto is “#GSD”—get stuff done—and we do just that. If you want to be at the nexus of sports, commerce, and technology, come be a part of our industry-leading team here at Fanatics Tech.       Job Description       At Fanatics, we are passionate about leveraging data to drive growth and operational efficiencies. We firmly believe in putting data at the forefront of delivering an engaging experience for our sports fans!   Fanatics Inc. is looking for highly motivated individuals to join our Data Science and Engineering team. You will collaborate closely with engineering, PMs, cross functional business units to address challenging problems using techniques from applied statistics, machine learning and/or data mining fields.       Responsibilities       Build, deploy, and maintain predictive models in one or more of the following areas: 1) price and promotion optimization; 2) inventory optimization; 3) e-marketing optimization.  Dive into complex data sets to analyze trends and identify opportunities for improvement.  Support business stakeholders by providing ad-hoc analysis to help drive decision-making.  Collaborate cross-functionally with diverse teams (e.g. marketing operations, technology, merchandising, procurement, apparel design/production) to understand business objectives and design and implement data-driven solutions.  Effectively communicate analytical solutions to non-technical stakeholders and senior leadership        Qualifications   Minimum 3 years experience in the industry ( excluding internships/ co op/ academic projects).  Experience developing machine learning and statistical models for real-world problems.  Strong algorithmic thinking and passion for empirical research to answer hard questions.  Ability to communicate complex quantitative analysis, analytic approaches and findings in a clear, precise, and actionable manner.  Designing and evaluating A|B experiments and monitoring key product metrics, understanding root causes of changes in metrics.  Working knowledge of big data processing technologies such as Hadoop, Hive, Pig and Spark.  Ability to use SQL to perform data analysis.  Have a BS/MS/PhD in Statistics, Applied Math, Operational Research, Computer Science or related field.       Tryouts are open at Fanatics! Our team is passionate, talented, unified, and charged with creating the fan experience of tomorrow. The ball is in your court now.        ]"
"Data Analyst, YouTube Trust and Safety",SELLBYTEL,"San Bruno, CA","[    YouTube's user base is growing and changing, which presents unique challenges and opportunities to support over a billion users globally. Fast-paced, dynamic, and proactive, the  YouTube Trust and Safety team provides scaled support to keep YouTube safe for the 1+ billion viewers, creators, and advertisers. The team provides scaled, effective reporting for the YT trust and safety operations and driving actionable insights for future investments.   The Data Analyst will be responsible for driving the integrity and completion to our most important data set: our Trust and Safety workflow data. You have technical aptitude and are able to handle large data sets with facility, but can also patiently work through individual issues. You are comfortable analyzing the key causes of data integrity and duplication issues and driving processes/systems that solve these issues.   Most of all, you have a commitment to providing internal and external YouTube customers with the best possible experience.    Responsibilities:     Experience of working with large data sets to develop analytics pipeline, build dashboards that drive business insights   Data validation and reporting to business partners to monitor trends in YouTube operations   Ability to respond to one off escalations with quick data insights   Streamline operations with quick and easy automation solutions     Requirements:     BA/BS Degree in Business, Finance, Engineering or related technical field, or equivalent practical experience   4+ years professional experience with SQL, reporting tools and advanced spreadsheet skills    Experience with Google proprietary tools preferred     Strong written and verbal communication skills    Attention to detail and work ethic for dealing with a variety of data issues   Strong grasp on data structure and data integrity issues.   Experience in business or operations analysis   Able to thrive in the hands-on, high-growth environment of YouTube   Aggressive problem solver, curious for challenges as opposed to committed to reproducing former structures   Ability to work for any US employer ( we do not provide visa sponsorship )     Additional Notes:     Resumes without  professional SQL experience will not be considered   We  do not provide visa   sponsorship nor C2C transfers    Non-local resumes require a cover letter mentioning availability for interviews, as this is  not a remote or telecommute role    Resumes should be no longer than  two pages   We do not provide relocation packages     About the Company    The SELLBYTEL Group is a global outsourcing company specializing in Sales, Service, Support, Human Resources, Training and Back Office. We are a trusted partner of Google in the promotion of Google Apps and related products.    ]"
Social Health Data Analyst - Community Health,Kaiser Permanente,"Oakland, CA","[    Have you wondered what it would be like to wake up every day and contribute to ending hunger or homelessness? Passionate about meeting the social needs of our members and communities, the Social Health Data Analyst will be a key team member in supporting execution of highly visible and complex efforts within Community Health. This role will be part of the team that will think big, long-term, and driving execution to achieve a vision of creating more healthy years for our members and communities we serve.        The ideal candidate will thrive supporting a bold and innovative initiative, and will work with a team that brings a human-centered, outcomes-focused, flexible and collaborative approach to help drive toward ambitious Community Health outcomes in the areas of housing stability, food security and social health.        The Social Health Data Analyst will provide support in making strategic data-related decisions by analyzing, manipulating, tracking, internally managing and reporting data. These positions function both as a consultant and as a high-level data analyst. The position works with clients to develop the right set of questions/hypotheses, using the appropriate tools/skills to derive the best information to address customer needs.      Essential Functions:    Provides direction for assigned components of project work.  Coordinates, team/project activities &amp; schedules.  With some feedback and mentoring, able to develop proposals for clients, project, structure, approach, &amp; work plan.  Given scope of work, minimal feedback/rework is necessary.  Evaluates effectiveness of actions/programs implemented.  Researches key business issues, directs the collecting and analyzing of quantitative and qualitative data.  Proactively records workflows, deliverables, and standing operating procedures for projects.  Developing specified QA procedures to ensure accuracy of project data, results and written reports &amp; presentation materials.         Basic Qualifications:    Experience    Minimum two (2) years of work experience.   Education    Bachelor's degree in related field, OR four (4) additional years of experience in a directly related field.  High School Diploma or General Education Development (GED) required.   License, Certification, Registration    N/A         Additional Requirements:     Working knowledge of policies, practices and systems.  Frequent use and general knowledge of industry practices, techniques, and standards.  General application of concepts and principles.  Full use and application of standard principles, theories, concepts, and techniques.  Must be able to work in a Labor/Management Partnership environment.         Preferred Qualifications:      Deep experience with data. Diverse skills including analytics and evaluation.   Ability to perform ad hoc analysis.  Demonstrated experience with supporting customers, business functions and or team member needs including developing materials and presentations, advancing specific projects, interface with IT and other associated teams, facilitate work sessions and meetings, project management as needed.  Master's degree.  Knowledge of health care industry preferred.  Familiarity with Kaiser Permanente health care system preferred.    PrimaryLocation : California,Oakland,Ordway One Kaiser Plaza  HoursPerWeek : 40  Shift : Day  Workdays : Mon, Tue, Wed, Thu, Fri  WorkingHoursStart : 8:00 AM  WorkingHoursEnd : 5:00 PM  Job Schedule : Full-time  Job Type : Standard  Employee Status : Regular  Employee Group/Union Affiliation : Salaried, Non-Union, Exempt  Job Level : Individual Contributor  Job Category : Sales and Marketing  Department : Community Health  Travel : Yes, 25 % of the Time  Kaiser Permanente is an equal opportunity employer committed to a diverse and inclusive workforce. Applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy), age, sexual orientation, national origin, marital status, parental status, ancestry, disability, gender identity, veteran status, genetic information, other distinguishing characteristics of diversity and inclusion, or any other protected status.    External hires must pass a background check/drug screen. Qualified applicants with arrest and/or conviction records will be considered for employment in a manner consistent with federal and state laws, as well as applicable local ordinances, including but not limited to the San Francisco and Los Angeles Fair Chance Ordinances.   ]"
Data Analyst (Machine Learning),"Intuitive Surgical, Inc.","Sunnyvale, CA 94087","[    Job:  Engineering   Primary Location:  United States-California-Sunnyvale-US-CA-Sunnyvale   Schedule:  Full-time   Requisition ID:  193884     Description     Joining Intuitive Surgical means joining a team dedicated to using technology to benefit patients by improving surgical efficacy and decreasing surgical invasiveness, with patient safety as our highest priority.      Primary Function of Position     Working with other data analysts, ML and software engineers, you will develop domain-specific analysis techniques and build tools that leverage ML to extract actionable insights from data, make credible predictions and help Intuitive Surgical make better-informed decisions rapidly. You will mine data collected from our fleet of 5,000+ da Vinci surgical robots used in hospitals worldwide, as well as diverse data from various business systems.    You will combine your strong analytic skills with clinical and business knowledge to identify correlations, patterns and other high-value inferences in support of operational goals. You will also work closely with software development teams to define product roadmaps that align the analytic capabilities you develop to software product releases.     Roles and Responsibilities        Perform exploratory data analysis and identify suitable ML techniques to solve problems   Design, code, train, test, deploy and refine ML-enabled systems  Liaise with clinical/product engineering teams and other subject matter experts to gather domain knowledge relevant to refining ML models  Proactively gain clinical and business domain expertise to unlock value from proprietary data  Help define the organization’s Machine Learning technology roadmap and build robust, production-grade computational pipelines         Qualifications      Requirements        Solid experience in rapidly exploring and analyzing complex datasets  Fluency in building and tuning ML and Deep Learning models to solve non-trivial classification and prediction problems  Proficiency in applying Deep Learning models for image and video analysis  Familiarity with NLP techniques for text classification and information extraction  2+ years with Tensorflow, Keras, PyTorch, Scikit-Learn or similar tools  2+ years in Python, C# and/or Java  MS in Data Science, AI/Machine Learning, Computer Science or related field        Desired Skills         Proficiency in techniques for dealing with limited datasets including transfer learning, synthetic data generation and few-shot learning  Deploying and supporting ML systems in a production environment  Proficiency in one or more of the following areas: statistical techniques, Bayesian inference, anomaly detection  Experience in the medical field  Familiarity with sensors, electronic hardware design, failure analysis        Travel         Little to none      We are an AA/EEO/Veterans/Disabled employer.  We will consider for employment qualified applicants with arrest and conviction records in accordance with fair chance laws.    ]"
"Sr. Data Scientist - Clinical Imaging, Personalized Healthcare (PHC)",Genentech,"South San Francisco, CA 94083","[  The Position     GENERAL POSITION SUMMARY/PURPOSE:   Roche’s Product Development organization is responsible for developing and executing late stage (Phase III – IV) clinical trials to establish efficacy and clinical utility of novel therapies The purpose of these trials is provide critical data for regulatory approval and post-market expansion of therapeutic use. The PD PHC Clinical Imaging Scientist participates in development of imaging biomarker component of clinical strategies for the assigned molecule(s)/indication(s) and is responsible for developing and ensuring effective and efficient execution of CDPs involving clinical imaging.     JOB DESCRIPTION – PRIMARY DUTIES AND RESPONSIBILITIES:   Provide imaging scientific leadership for study/project teams and during interactions with imaging service providers in opthamology or oncology.  Align imaging strategies between clinical development teams with ensuring establishment and sharing of best practices and processes  Ensure proactive consideration of imaging strategies during clinical development planning  Facilitate communications with reading centers and support creation/editing of imaging manuals, imaging review charters/grading protocols, image transfer agreements, etc.  Perform tasks related to image data management, image transfer, and organization  Oversee and perform hands-on analysis of a variety of retinal imaging data (including color fundus and OCT) or oncology imaging data (PET, CT, MRI)  Collaborate with other scientists within the personalized healthcare (PHC) imaging, clinical imaging groups, biomarker, biostatistics and clinical science groups on designing image analysis strategies and presenting results.  Develop and maintain clinical, scientific, and technical expertise in ophthalmology, oncology or other therapeutic areas as needed  Adhere to corporate compliance in all activities, including governing laws, regulations, Standard Operating Procedures (SOPs) and other guidelines  Provide imaging expertise for collaborative efforts to assess and obtain real world clinical imaging data for PHC Imaging biomarker development efforts.  Identify opportunities and coordinate inclusion of novel automated imaging analysis biomarker in late stage clinical trials     QUALIFICATIONS &amp; EXPERIENCE:   6 years for Masters of Science or Masters of Engineering degree; 3 years for PhD in relevant scientific/engineering discipline preferred.  At least 2 years pharmaceutical/biotechnology industry experience or other relevant experience of using imaging in clinical trials  Ability to work on cross-functional teams; excellent communication and presentation skills.  An understanding of ophthalmology centralized reading center (opthamology or oncology) processes would be an important advantage  A good understanding of the basic principles of retinal or oncology imaging  Experience with ‘hands-on’ quantitative analysis of imaging data in clinical trials; familiarity with retinal imaging (such as optical coherence tomography) on oncology (PET, CT, MRI) imaging would be preferred  Knowledge of image file formats and structures used in ophthalmic imaging  Programming skills; experience working with MATLAB or Python preferred  A good working knowledge of statistics and its applications within the biomedical sciences  Knowledge of other clinical imaging modalities is a plus  An understanding of Phase I-IV drug development would be an advantage  Confident and competent when interacting with varying levels of internal/external management, KOLs, etc.: stays focused and on-point, and is able to raise problems or challenges in a productive and mature manner   Proven track record of effective decision-making:  makes good business decisions and exercises sound judgment. Consistently and effectively identifies and addresses important factors affecting imaging trial design and execution  Self-motivated and achievement driven with strong customer orientation and entrepreneurial mindset     Additional requirements for a more senior position:   Recognized as a subject matter expert in imaging in clinical drug development across all phases (includes external recognition as an expert); able to evaluate, interpret and present highly complex data for a series of studies (prospective and retrospective); has made significant contributions to an organization's drug development (whether for Roche or another organization);  Has proven abilities to influence internal partners and stakeholders, thought leaders, national advocacy organizations, national standard-setting bodies, regulatory bodies, and other relevant external parties  #LI-PDHB2  Who We Are  A member of the Roche Group, Genentech has been at the forefront of the biotechnology industry for more than 40 years, using human genetic information to develop novel medicines for serious and life-threatening diseases. Genentech has multiple therapies on the market for cancer &amp; other serious illnesses. Please take this opportunity to learn about Genentech where we believe that our employees are our most important asset &amp; are dedicated to remaining a great place to work.  The next step is yours. To apply today, click on the ""Apply online"" button.  Genentech is an equal opportunity employer &amp; prohibits unlawful discrimination based on race, color, religion, gender, sexual orientation, gender identity/expression, national origin/ancestry, age, disability, marital &amp; veteran status. For more information about equal employment opportunity, visit our Genentech Careers page .  ]"
Principal Data Scientist,AETNA,"Cupertino, CA","[    Description:    Provides strategic leadership for the development, validation and delivery of algorithms, statistical models and reporting tools. Acts as the analytic team lead for highly complex projects involving multiple resources and tasks, providing individual mentoring in support of company objectives. 66674    Fundamental Components:    Leads development and execution of new and/or highly complex algorithms and statistical predictive models and determines analytical approaches and modeling techniques to evaluate scenarios and potential future outcomes. Establishes analytical rigor and statistical methods to analyze large amounts of data, using advanced statistical techniques and mathematical analyses. Manages highly complex analytical projects from data exploration, model building, performance evaluation and testing. Applies in-depth knowledge of systems and products to consult and advise on additional efforts across organization/enterprise. Motivates team members and probes into technical details, and mentors others to do the same. Provides thought leadership and direction for analytic solutions, tools and studies. Anticipates and solves strategic and high risk business problems with broad impact on the business area by applying leading-edge theories and techniques to investigate problems, detect patterns and recommend solutions. Provides guidance to develop enterprise-wide analytics strategy and roadmap. Interacts with internal and external peers and management to share highly complex information/solutions related to areas of expertise and/or to gain acceptance of new or enhanced technology/ business solutions.     Background Experience:    Excellent analytical and problem solving skills.Strong organizational, management and leadership skills.Superior skills to effectively communicate and negotiate across the business and in the external health care environment.Expertise in advanced analytics tools and languages to analyze large data sets from multiple data sources.Expertise in innovating and implementing novel machine learning techniques.Comprehensive knowledge on health care industry, products, systems, business strategies and products.Demonstrates advanced in-depth specialization in mathematical analysis methods, machine learning, statistical analyses, and predictive modeling.Superior ability to communicate technical ideas and results to non-technical clients in written and verbal form.10 or more years of progressively complex related experience. Bachelor's degree or equivalent work experience in Mathematics, Statistics, Computer Science, Business Analytics, Economics, Physics, Engineering, or related discipline.Master’s degree or PhD preferred.     Potential Telework Position:    No     Percent of Travel Required:    0 - 10%     EEO Statement:    Aetna is an Equal Opportunity, Affirmative Action Employer     Benefit Eligibility:    Benefit eligibility may vary by position. Click here to review the benefits associated with this position.     Candidate Privacy Information:    Aetna takes our candidate's data privacy seriously. At no time will any Aetna recruiter or employee request any financial or personal information (Social Security Number, Credit card information for direct deposit, etc.) from you via e-mail. Any requests for information will be discussed prior and will be conducted through a secure website provided by the recruiter. Should you be asked for such information, please notify us immediately.   ]"
Data Scientist,Stitch Fix,"San Francisco, CA","[  --------------  About the Team  --------------    The Global Optimization team is focused on solving business-facing problems that cut across organizational and functional boundaries of the company. We seek to ensure that Stitch Fix's systems are operating at their global optimum rather than at local optima---as might occur if each system were optimized independently.    We conceived, built, maintain, and improve the inventory targeting algorithm -- the technical system that allows Stitch Fix to optimize the outcomes for all clients simultaneously given our product inventory constraints.    --------------  About the Role  --------------    You will design, implement, and experimentally test improvements to the inventory targeting algorithm.    You will leverage the client-product matching information provided by the inventory targeting algorithm to enhance cross-team visibility into product and client performance to improve all stages of the client and merchandise lifecycles.    As an example, this could mean providing client-specific inventory health information to the marketing team so that they can choose to acquire clients that will have a good experience given our present inventory. It may also mean providing client-segment specific information about the products for which demand most exceeds supply so that the merchandise buying team can focus on buying items that improve client experience the most.    --------------------------------------------------------------  You're excited about this opportunity because you will…  --------------------------------------------------------------       Requires you to think about a large, functioning, successful business as an organic whole rather than focusing on a small slice   Allows you to operate as a ""full stack"" data scientist participating in every stage of development from idea to proof-of-principle to production   Is an opportunity to drive highly visible impact at the company    ---------------------------------------------  We're excited about you because…  ---------------------------------------------       Have a PhD or equivalent experience in a quantitative empirical science   Have 3+ years industry experience interacting with production systems   Are an exceptional communicator able to use the appropriate level of technical detail for a given audience   May have background in convex optimization   May have experience using distributed systems such as Spark   Avoid getting ""blocked"" by working with a bias to action in the presence of ambiguity   Know how to find the right balance of rigor and pragmatism in a given context   Are able to identify new opportunities to improve algorithms and effectively prioritize among them   Are bright, kind, and motivated by challenge    -------------------------------------------------  You will love working at Stitch Fix because we...  -------------------------------------------------       Are a successful, fast-growing company with a start-up work vibe.   Are a technology and data-centric business, all in the service of our customers.   Offer competitive salaries, equity and comprehensive health benefits.   Are at the forefront of tech and fashion, redefining shopping for the next generation.   Are passionate about our clients and live/breathe the client experience.   Get to be creative every day.   Have a smart and experienced leadership team that wants to do it right &amp; is open to new ideas.   Believe in autonomy &amp; taking initiative.   Are a group of bright and kind people who are motivated by challenge.   We are challenged, developed and have meaningful impact   We take what we do seriously. We don't take ourselves seriously   We offer competitive compensation packages and comprehensive health benefits   You will be proud to say that you work for Stitch Fix and will know that the work you do brings substantial positive impact to our users every day.    ----------------  About Stitch Fix  ----------------    Stitch Fix is an online personal style service for men and women combining art and science to disrupt and redefine the retail industry. We're the first fashion retailer to blend expert styling, proprietary technology and unique product to deliver a refined shopping experience. Using a blend of art and science, we deliver a deeply personalized shopping service to our customers. We leverage vast amounts of client data to make decisions throughout the company. This novel juxtaposition—at once analytical and artistic, technical and adventurous—attracts an extraordinary collection of talented people who are both thinkers and doers. Our diverse workforce has catalyzed enormous company growth over the past three years in terms of customer satisfaction and service efficacy. All of this results in a simple, powerful offering to our customers and a successful, growing business. We'd love for you to help us carry on the trend.  ]"
Head of Risk Data Science,Funding Circle US,"San Francisco, CA","[    Reporting directly to the US CRO, the Head of Risk Data Science is responsible for building best in class risk models to drive credit performance and business growth of the Funding Circle US portfolio. The ideal candidate has a wealth of credit risk modeling &amp; analytics experience in the financial services space and a quantitative background.   As Head of Risk Data Science you will …    Core responsibility for this role would be managing a team of data scientists responsible for development/maintenance of credit &amp; fraud risk models across the entire customer life-cycle:    Development of underwriting models that are a key input into approval/decline decision of an incoming application and pricing of the approved applications.   Development of behavioral models on funded loan book to track &amp; mange book of existing loans   Development of collection &amp; recovery models that are a key input into collections &amp; recovery strategy   Development of credit abuse and fraud detection models       This involves:    Synthesis of information across Commercial &amp; Consumer data sources and combining them in a seamless manner   Ensuring that the model build follows sound statistical process and adheres to the Funding Circle model risk management standard   Working with global independent model validation team to ensure that models go through a rigorous independent model validation before deployment   Presentation of models at appropriate risk committee for approval and on-going tracking results    Lead data science research efforts to drive innovation and enhancement of modelling methodology, segmentation and new variable/information insights   Work with global independent model validation team to ensure:    Responsible for on-going tracking of model performance &amp; data quality checks      You’ve been there and done this…     8+ years of credit &amp; fraud modelling experience in the Financial Services space   Strong knowledge of drivers of Credit/fraud behavior and demonstrated experience in leveraging those drivers to build effective models   Quantitative background: Master's in Statistics/Econometrics or Engineering   Solid working knowledge of R / Python/ Text Mining tools   Identification with our Mission, “To build a better financial world”   Alignment with our Core Values: Think Smart, Make It Happen, Be Open, Stand Together, Live The Adventure     It would be great if you also have…     A PhD degree   Experience with Small Business Credit     ]"
